accuracy,FAR,FRR,ROC_AUC,n_pairs,FAR_negative_skilled,threshold_name,best_model,n_selected_features,split_id
0.6997635933806147,0.4351851851851852,0.15942028985507245,0.799248523886205,423,0.4351851851851852,EER_balanced,SVM_rbf,50,0
0.7375886524822695,0.2361111111111111,0.2898550724637681,0.799248523886205,423,0.2361111111111111,FAR_target_10%,SVM_rbf,50,0
0.7612293144208038,0.30092592592592593,0.17391304347826086,0.8615472356414385,423,0.30092592592592593,EER_balanced,SVM_rbf,50,1
0.7706855791962175,0.13425925925925927,0.3285024154589372,0.8615472356414385,423,0.13425925925925927,FAR_target_10%,SVM_rbf,50,1
0.6973995271867612,0.32407407407407407,0.28019323671497587,0.7668075684380032,423,0.32407407407407407,EER_balanced,RF_200,50,2
0.6595744680851063,0.16203703703703703,0.5265700483091788,0.7668075684380032,423,0.16203703703703703,FAR_target_10%,RF_200,50,2
0.7801418439716312,0.25925925925925924,0.178743961352657,0.8399870280908928,423,0.25925925925925924,EER_balanced,RF_200,50,3
0.7021276595744681,0.10648148148148148,0.4975845410628019,0.8399870280908928,423,0.10648148148148148,FAR_target_10%,RF_200,50,3
0.6335697399527187,0.6574074074074074,0.06280193236714976,0.7663826265879407,423,0.6574074074074074,EER_balanced,RF_200,50,4
0.6477541371158393,0.5509259259259259,0.14492753623188406,0.7663826265879407,423,0.5509259259259259,FAR_target_10%,RF_200,50,4
