accuracy,FAR,FRR,ROC_AUC,n_pairs,FAR_negative_skilled,threshold_name,epochs_run,split_id
0.6217494089834515,0.4537037037037037,0.2995169082125604,0.6867060297011988,423,0.4537037037037037,EER_balanced,15,0
0.6288416075650118,0.1574074074074074,0.5942028985507246,0.6867060297011988,423,0.1574074074074074,FAR_target_10%,15,0
0.6666666666666666,0.5185185185185185,0.14009661835748793,0.7245482197173019,423,0.5185185185185185,EER_balanced,14,1
0.6548463356973995,0.3101851851851852,0.38164251207729466,0.7245482197173019,423,0.3101851851851852,FAR_target_10%,14,1
0.7021276595744681,0.3055555555555556,0.2898550724637681,0.7607801037752728,423,0.3055555555555556,EER_balanced,12,2
0.5933806146572104,0.10185185185185185,0.7246376811594203,0.7607801037752728,423,0.10185185185185185,FAR_target_10%,12,2
0.5555555555555556,0.5,0.3864734299516908,0.600174449812131,423,0.5,EER_balanced,12,3
0.5508274231678487,0.25925925925925924,0.6473429951690821,0.600174449812131,423,0.25925925925925924,FAR_target_10%,12,3
0.6146572104018913,0.35185185185185186,0.42028985507246375,0.661522633744856,423,0.35185185185185186,EER_balanced,14,4
0.5366430260047281,0.16203703703703703,0.7777777777777778,0.661522633744856,423,0.16203703703703703,FAR_target_10%,14,4
