writer_id,n_pairs,accuracy,threshold_name,split_id
7,47,0.6595744680851063,EER_balanced,2
8,47,0.5319148936170213,EER_balanced,2
15,47,0.9148936170212766,EER_balanced,2
20,47,0.8723404255319149,EER_balanced,2
22,47,0.851063829787234,EER_balanced,2
34,47,0.5319148936170213,EER_balanced,2
35,47,0.46808510638297873,EER_balanced,2
38,47,0.8297872340425532,EER_balanced,2
50,47,0.574468085106383,EER_balanced,2
7,47,0.7021276595744681,FAR_target_10%,2
8,47,0.46808510638297873,FAR_target_10%,2
15,47,0.8297872340425532,FAR_target_10%,2
20,47,0.9361702127659575,FAR_target_10%,2
22,47,0.7446808510638298,FAR_target_10%,2
34,47,0.48936170212765956,FAR_target_10%,2
35,47,0.48936170212765956,FAR_target_10%,2
38,47,0.8297872340425532,FAR_target_10%,2
50,47,0.723404255319149,FAR_target_10%,2
