accuracy,FAR,FRR,ROC_AUC,n_pairs,FAR_negative_skilled,threshold_name,best_model,n_selected_features,split_id
0.933806146572104,0.09722222222222222,0.033816425120772944,0.9764380926820541,423,0.09722222222222222,EER_balanced,RF_200,14,0
0.9385342789598109,0.10648148148148148,0.014492753623188406,0.9764380926820541,423,0.10648148148148148,FAR_target_10%,RF_200,14,0
0.9408983451536643,0.08333333333333333,0.033816425120772944,0.9799382716049383,423,0.08333333333333333,EER_balanced,RF_200,14,1
0.9385342789598109,0.08796296296296297,0.033816425120772944,0.9799382716049383,423,0.08796296296296297,FAR_target_10%,RF_200,14,1
0.9716312056737588,0.004629629629629629,0.05314009661835749,0.9924852388620504,423,0.004629629629629629,EER_balanced,RF_400,14,2
0.9810874704491725,0.013888888888888888,0.024154589371980676,0.9924852388620504,423,0.013888888888888888,FAR_target_10%,RF_400,14,2
0.91725768321513,0.06481481481481481,0.10144927536231885,0.9653672392198962,423,0.06481481481481481,EER_balanced,RF_200,14,3
0.9219858156028369,0.05555555555555555,0.10144927536231885,0.9653672392198962,423,0.05555555555555555,FAR_target_10%,RF_200,14,3
0.91725768321513,0.07407407407407407,0.09178743961352658,0.9744140275541242,423,0.07407407407407407,EER_balanced,RF_400,14,4
0.9101654846335697,0.09722222222222222,0.0821256038647343,0.9744140275541242,423,0.09722222222222222,FAR_target_10%,RF_400,14,4
