writer_id,n_pairs,accuracy,threshold_name,split_id
4,47,0.8936170212765957,EER_balanced,1
5,47,0.5319148936170213,EER_balanced,1
10,47,0.8936170212765957,EER_balanced,1
16,47,0.8936170212765957,EER_balanced,1
18,47,0.9148936170212766,EER_balanced,1
21,47,0.8297872340425532,EER_balanced,1
26,47,0.44680851063829785,EER_balanced,1
33,47,0.8723404255319149,EER_balanced,1
47,47,0.6808510638297872,EER_balanced,1
4,47,0.9148936170212766,FAR_target_10%,1
5,47,0.5106382978723404,FAR_target_10%,1
10,47,0.6595744680851063,FAR_target_10%,1
16,47,0.9361702127659575,FAR_target_10%,1
18,47,0.9574468085106383,FAR_target_10%,1
21,47,0.5957446808510638,FAR_target_10%,1
26,47,0.5531914893617021,FAR_target_10%,1
33,47,0.7021276595744681,FAR_target_10%,1
47,47,0.5531914893617021,FAR_target_10%,1
