accuracy,FAR,FRR,ROC_AUC,n_pairs,FAR_negative_skilled,threshold_name,best_model,n_selected_features,split_id
0.7728395061728395,0.39814814814814814,0.031746031746031744,0.8881785224377816,405,0.39814814814814814,EER_balanced,SVM_rbf,54,0
0.8,0.20833333333333334,0.19047619047619047,0.8881785224377816,405,0.20833333333333334,FAR_target_10%,SVM_rbf,54,0
0.8790123456790123,0.12037037037037036,0.12169312169312169,0.9435136194395454,405,0.12037037037037036,EER_balanced,SVM_rbf,54,1
0.8716049382716049,0.027777777777777776,0.24338624338624337,0.9435136194395454,405,0.027777777777777776,FAR_target_10%,SVM_rbf,54,1
0.7901234567901234,0.2824074074074074,0.12698412698412698,0.857987948265726,405,0.2824074074074074,EER_balanced,RF_200,54,2
0.7950617283950617,0.2175925925925926,0.19047619047619047,0.857987948265726,405,0.2175925925925926,FAR_target_10%,RF_200,54,2
0.7901234567901234,0.35185185185185186,0.047619047619047616,0.9238560650597687,405,0.35185185185185186,EER_balanced,RF_200,54,3
0.8469135802469135,0.21296296296296297,0.08465608465608465,0.9238560650597687,405,0.21296296296296297,FAR_target_10%,RF_200,54,3
0.6617283950617284,0.5185185185185185,0.13227513227513227,0.8457035077405447,405,0.5185185185185185,EER_balanced,RF_200,54,4
0.6938271604938272,0.4583333333333333,0.13227513227513227,0.8457035077405447,405,0.4583333333333333,FAR_target_10%,RF_200,54,4
