model,accuracy,precision,recall,f1,roc_auc,FAR,FRR,threshold
siamese,0.7754666666666666,0.6563688212927756,0.9206666666666666,0.7663706992230854,0.9062773333333332,0.3213333333333333,0.0793333333333333,-6.887430667877197
rf,0.7749333333333334,0.6872146118721462,0.8026666666666666,0.7404674046740467,0.8535754074074073,0.2435555555555555,0.1973333333333333,0.457120858394031
svm,0.7738666666666667,0.6750805585392051,0.838,0.7477691850089233,0.8568657777777778,0.2688888888888889,0.162,-0.1189090185139307
combined,0.7770666666666667,0.6539888682745826,0.94,0.7713347921225383,0.9050992592592593,0.33155555555555555,0.06,0.41490008876604634
