model,accuracy,precision,recall,f1,roc_auc,FAR,FRR,threshold
siamese,0.7562666666666666,0.7216338880484114,0.636,0.6761162296243799,0.8446918518518518,0.16355555555555557,0.364,-6.1625471115112305
rf,0.7557333333333334,0.6558164354322306,0.8193333333333334,0.7285121517486662,0.8401342222222223,0.2866666666666667,0.18066666666666667,0.39
svm,0.7637333333333334,0.6605648535564853,0.842,0.7403282532239156,0.8409244444444444,0.28844444444444445,0.158,-0.24791735414695082
