writer_id,n_pairs,accuracy
2,47,0.5319148936170213
3,47,0.5319148936170213
9,47,0.6382978723404256
14,47,0.723404255319149
15,47,0.7446808510638298
34,47,0.48936170212765956
37,47,0.7872340425531915
44,47,0.5106382978723404
54,47,0.5531914893617021
