model,threshold,accuracy_val,accuracy_test,FAR_test,FRR_test
combined,0.7388665841371429,0.7874666666666666,0.8088,0.08622222222222223,0.3486666666666667
siamese,-5.714162349700928,0.7736,0.8096,0.11866666666666667,0.298
svm,0.3380728816612568,0.7266666666666667,0.7725333333333333,0.20266666666666666,0.26466666666666666
rf,0.49289277242761204,0.7266666666666667,0.7757333333333334,0.22266666666666668,0.22666666666666666
